"soe","month","month_num","year","total_arrivals","arrivals_male","arrivals_female"
"Selangor","October","10","2021",10050,6806,3244
"Selangor","October","10","2022",443226,273074,170152
"Selangor","October","10","2023",643447,367295,276152
"Selangor","September","09","2020",5915,4187,1728
"Selangor","September","09","2021",7276,5165,2111
"Selangor","September","09","2022",382603,243982,138621
"Selangor","September","09","2023",704265,408872,295393
"Terengganu","April","04","2020",0,0,0
"Terengganu","April","04","2021",0,0,0
"Terengganu","April","04","2022",2,2,0
"Terengganu","April","04","2023",1,1,0
"Terengganu","April","04","2024",21,5,16
"Terengganu","August","08","2020",0,0,0
"Terengganu","August","08","2021",0,0,0
"Terengganu","August","08","2022",0,0,0
"Terengganu","August","08","2023",0,0,0
"Terengganu","December","12","2020",20,20,0
"Terengganu","December","12","2021",0,0,0
"Terengganu","December","12","2022",0,0,0
"Terengganu","December","12","2023",1,1,0
"Terengganu","February","02","2020",2,2,0
"Terengganu","February","02","2021",11,11,0
"Terengganu","February","02","2022",0,0,0
"Terengganu","February","02","2023",3,3,0
"Terengganu","February","02","2024",24,15,9
"Terengganu","January","01","2020",0,0,0
"Terengganu","January","01","2021",13,13,0
"Terengganu","January","01","2022",0,0,0
"Terengganu","January","01","2023",0,0,0
"Terengganu","January","01","2024",15,15,0
"Terengganu","July","07","2020",0,0,0
"Terengganu","July","07","2021",0,0,0
"Terengganu","July","07","2022",0,0,0
"Terengganu","July","07","2023",1,1,0
"Terengganu","June","06","2020",1,1,0
"Terengganu","June","06","2021",0,0,0
"Terengganu","June","06","2022",7,7,0
"Terengganu","June","06","2023",3,3,0
"Terengganu","June","06","2024",5,5,0
"Terengganu","March","03","2020",26,25,1
"Terengganu","March","03","2021",18,18,0
"Terengganu","March","03","2022",0,0,0
"Terengganu","March","03","2023",18,18,0
"Terengganu","March","03","2024",16,10,6
"Terengganu","May","05","2020",0,0,0
"Terengganu","May","05","2021",4,4,0
"Terengganu","May","05","2022",0,0,0
"Terengganu","May","05","2023",1,1,0
"Terengganu","May","05","2024",1,1,0
"Terengganu","November","11","2020",0,0,0
"Terengganu","November","11","2021",0,0,0
"Terengganu","November","11","2022",4,4,0
"Terengganu","November","11","2023",17,14,3
"Terengganu","October","10","2020",0,0,0
"Terengganu","October","10","2021",0,0,0
"Terengganu","October","10","2022",4,2,2
"Terengganu","October","10","2023",4,4,0
"Terengganu","September","09","2020",0,0,0
"Terengganu","September","09","2021",1,1,0
"Terengganu","September","09","2022",16,13,3
"Terengganu","September","09","2023",3,2,1
"W.P. Labuan","April","04","2020",2,2,0
"W.P. Labuan","April","04","2021",10,10,0
"W.P. Labuan","April","04","2022",31,22,9
"W.P. Labuan","April","04","2023",2291,1383,908
"W.P. Labuan","April","04","2024",1962,1161,801
"W.P. Labuan","August","08","2020",6,4,2
"W.P. Labuan","August","08","2021",9,9,0
"W.P. Labuan","August","08","2022",653,401,252
"W.P. Labuan","August","08","2023",2290,1426,864
"W.P. Labuan","December","12","2020",8,8,0
"W.P. Labuan","December","12","2021",10,10,0
"W.P. Labuan","December","12","2022",2316,1381,935
"W.P. Labuan","December","12","2023",3817,2308,1509
"W.P. Labuan","February","02","2020",2442,1634,808
"W.P. Labuan","February","02","2021",9,9,0
"W.P. Labuan","February","02","2022",17,17,0
"W.P. Labuan","February","02","2023",1946,1277,669
"W.P. Labuan","February","02","2024",2576,1590,986
"W.P. Labuan","January","01","2020",3950,2526,1424
"W.P. Labuan","January","01","2021",6,6,0
"W.P. Labuan","January","01","2022",12,12,0
"W.P. Labuan","January","01","2023",1622,1113,509
"W.P. Labuan","January","01","2024",1412,958,454
"W.P. Labuan","July","07","2020",11,8,3
"W.P. Labuan","July","07","2021",15,15,0
"W.P. Labuan","July","07","2022",64,36,28
"W.P. Labuan","July","07","2023",1360,934,426
"W.P. Labuan","June","06","2020",5,5,0
"W.P. Labuan","June","06","2021",0,0,0
"W.P. Labuan","June","06","2022",42,25,17
"W.P. Labuan","June","06","2023",1587,1042,545
"W.P. Labuan","June","06","2024",1595,1049,546
"W.P. Labuan","March","03","2020",912,627,285
"W.P. Labuan","March","03","2021",6,3,3
"W.P. Labuan","March","03","2022",12,12,0
"W.P. Labuan","March","03","2023",1425,978,447
"W.P. Labuan","March","03","2024",1590,1040,550
"W.P. Labuan","May","05","2020",2,2,0
"W.P. Labuan","May","05","2021",15,14,1
"W.P. Labuan","May","05","2022",28,21,7
"W.P. Labuan","May","05","2023",1741,1110,631
"W.P. Labuan","May","05","2024",2043,1209,834
"W.P. Labuan","November","11","2020",13,11,2
"W.P. Labuan","November","11","2021",3,3,0
"W.P. Labuan","November","11","2022",1234,848,386
"W.P. Labuan","November","11","2023",1651,1108,543
"W.P. Labuan","October","10","2020",5,5,0
"W.P. Labuan","October","10","2021",0,0,0
"W.P. Labuan","October","10","2022",1026,735,291
"W.P. Labuan","October","10","2023",1328,934,394
"W.P. Labuan","September","09","2020",10,8,2
"W.P. Labuan","September","09","2021",7,7,0
"W.P. Labuan","September","09","2022",940,641,299
"W.P. Labuan","September","09","2023",1469,998,471
