"soe","month","month_num","year","total_arrivals","arrivals_male","arrivals_female"
"Kedah","June","06","2021",16891,16846,45
"Kedah","June","06","2022",43811,28242,15569
"Kedah","June","06","2023",77066,41554,35512
"Kedah","June","06","2024",72074,37301,34773
"Kedah","March","03","2020",37180,16441,20739
"Kedah","March","03","2021",19205,19153,52
"Kedah","March","03","2022",20277,19980,297
"Kedah","March","03","2023",100620,56619,44001
"Kedah","March","03","2024",101507,55998,45509
"Kedah","May","05","2020",12924,12109,815
"Kedah","May","05","2021",18426,18383,43
"Kedah","May","05","2022",31734,22805,8929
"Kedah","May","05","2023",91007,49427,41580
"Kedah","May","05","2024",88882,46709,42173
"Kedah","November","11","2020",10592,9806,786
"Kedah","November","11","2021",18318,18257,61
"Kedah","November","11","2022",74452,43350,31102
"Kedah","November","11","2023",90711,51274,39437
"Kedah","October","10","2020",9606,8867,739
"Kedah","October","10","2021",19383,19342,41
"Kedah","October","10","2022",76669,42765,33904
"Kedah","October","10","2023",98794,55547,43247
"Kedah","September","09","2020",9295,8594,701
"Kedah","September","09","2021",18833,18787,46
"Kedah","September","09","2022",53695,30908,22787
"Kedah","September","09","2023",85836,49393,36443
"Kelantan","April","04","2020",22,5,17
"Kelantan","April","04","2021",5,2,3
"Kelantan","April","04","2022",8,7,1
"Kelantan","April","04","2023",46894,23322,23572
"Kelantan","April","04","2024",55767,27666,28101
"Kelantan","August","08","2020",3,1,2
"Kelantan","August","08","2021",0,0,0
"Kelantan","August","08","2022",29539,14719,14820
"Kelantan","August","08","2023",35798,19658,16140
"Kelantan","December","12","2020",2,1,1
"Kelantan","December","12","2021",0,0,0
"Kelantan","December","12","2022",26458,13404,13054
"Kelantan","December","12","2023",42337,21688,20649
"Kelantan","February","02","2020",39680,21932,17748
"Kelantan","February","02","2021",3,1,2
"Kelantan","February","02","2022",15,6,9
"Kelantan","February","02","2023",51162,27656,23506
"Kelantan","February","02","2024",56124,28910,27214
"Kelantan","January","01","2020",40002,21170,18832
"Kelantan","January","01","2021",0,0,0
"Kelantan","January","01","2022",4,1,3
"Kelantan","January","01","2023",49955,26718,23237
"Kelantan","January","01","2024",53671,28095,25576
"Kelantan","July","07","2020",9,1,8
"Kelantan","July","07","2021",3,1,2
"Kelantan","July","07","2022",16009,7651,8358
"Kelantan","July","07","2023",50017,26773,23244
"Kelantan","June","06","2020",21,3,18
"Kelantan","June","06","2021",1,0,1
"Kelantan","June","06","2022",8887,3963,4924
"Kelantan","June","06","2023",36763,19306,17457
"Kelantan","June","06","2024",51685,25848,25837
"Kelantan","March","03","2020",20605,10704,9901
"Kelantan","March","03","2021",4,2,2
"Kelantan","March","03","2022",14,13,1
"Kelantan","March","03","2023",58591,29810,28781
"Kelantan","March","03","2024",61724,30496,31228
"Kelantan","May","05","2020",18,6,12
"Kelantan","May","05","2021",1,1,0
"Kelantan","May","05","2022",3846,1929,1917
"Kelantan","May","05","2023",52302,27611,24691
"Kelantan","May","05","2024",57354,29172,28182
"Kelantan","November","11","2020",5,2,3
"Kelantan","November","11","2021",4,0,4
"Kelantan","November","11","2022",33210,17724,15486
"Kelantan","November","11","2023",40481,21136,19345
"Kelantan","October","10","2020",1,0,1
"Kelantan","October","10","2021",0,0,0
"Kelantan","October","10","2022",38130,19621,18509
"Kelantan","October","10","2023",47679,25452,22227
"Kelantan","September","09","2020",7,1,6
"Kelantan","September","09","2021",6,4,2
"Kelantan","September","09","2022",30029,15427,14602
"Kelantan","September","09","2023",35224,19490,15734
"Melaka","April","04","2020",0,0,0
"Melaka","April","04","2021",0,0,0
"Melaka","April","04","2022",16,10,6
"Melaka","April","04","2023",5639,2551,3088
"Melaka","April","04","2024",4776,2122,2654
"Melaka","August","08","2020",0,0,0
"Melaka","August","08","2021",0,0,0
"Melaka","August","08","2022",6512,2778,3734
"Melaka","August","08","2023",3466,1678,1788
"Melaka","December","12","2020",10,10,0
"Melaka","December","12","2021",0,0,0
"Melaka","December","12","2022",8007,3550,4457
"Melaka","December","12","2023",5419,2320,3099
"Melaka","February","02","2020",3236,1502,1734
"Melaka","February","02","2021",0,0,0
"Melaka","February","02","2022",0,0,0
"Melaka","February","02","2023",5254,2330,2924
"Melaka","February","02","2024",3291,1479,1812
"Melaka","January","01","2020",6015,2813,3202
"Melaka","January","01","2021",0,0,0
"Melaka","January","01","2022",0,0,0
"Melaka","January","01","2023",5387,2439,2948
"Melaka","January","01","2024",3497,1663,1834
"Melaka","July","07","2020",0,0,0
"Melaka","July","07","2021",2,1,1
"Melaka","July","07","2022",6265,2683,3582
"Melaka","July","07","2023",5261,2352,2909
"Melaka","June","06","2020",0,0,0
"Melaka","June","06","2021",0,0,0
"Melaka","June","06","2022",5730,2585,3145
"Melaka","June","06","2023",5218,2463,2755
"Melaka","June","06","2024",5367,2433,2934
"Melaka","March","03","2020",1040,500,540
"Melaka","March","03","2021",2,0,2
"Melaka","March","03","2022",13,0,13
"Melaka","March","03","2023",4596,2112,2484
"Melaka","March","03","2024",3074,1413,1661
"Melaka","May","05","2020",0,0,0
"Melaka","May","05","2021",0,0,0
"Melaka","May","05","2022",2979,1356,1623
"Melaka","May","05","2023",5255,2309,2946
"Melaka","May","05","2024",3982,1770,2212
"Melaka","November","11","2020",0,0,0
"Melaka","November","11","2021",3,3,0
"Melaka","November","11","2022",5202,2374,2828
"Melaka","November","11","2023",3716,1708,2008
"Melaka","October","10","2020",2,1,1
"Melaka","October","10","2021",0,0,0
"Melaka","October","10","2022",6778,3113,3665
"Melaka","October","10","2023",3539,1571,1968
"Melaka","September","09","2020",0,0,0
"Melaka","September","09","2021",0,0,0
"Melaka","September","09","2022",7883,3526,4357
"Melaka","September","09","2023",4227,1879,2348
"Negeri Sembilan","April","04","2020",1,1,0
"Negeri Sembilan","April","04","2021",0,0,0
"Negeri Sembilan","April","04","2022",6,5,1
"Negeri Sembilan","April","04","2023",4340,2174,2166
"Negeri Sembilan","April","04","2024",5204,3169,2035
"Negeri Sembilan","August","08","2020",0,0,0
"Negeri Sembilan","August","08","2021",0,0,0
"Negeri Sembilan","August","08","2022",7508,5244,2264
"Negeri Sembilan","August","08","2023",7275,4710,2565
