"ranking","country","country_name","total_arrivals","longitude","latitude"
71,"LTU","Lithuania",14268,24,56
72,"SVK","Slovakia",14033,19.5,48.6667
73,"KEN","Kenya",13558,38,1
74,"LBY","Libya",11524,34,50
75,"BLR","Belarus",11138,28,53
76,"PSE","Palestine",10249,35.25,32
77,"BGR","Bulgaria",9556,25,43
78,"GRC","Greece",9507,22,39
79,"KGZ","Kyrgyzstan",8974,75,41
80,"CHL","Chile",8897,-71,-30
81,"EST","Estonia",8255,26,59
82,"LBN","Lebanon",8141,35.8333,33.8333
83,"SOM","Somalia",7257,49,10
84,"HRV","Croatia",7211,15.5,45.1667
85,"LVA","Latvia",6777,25,57
86,"TLS","Timor-Leste",6745,125.5167,-8.55
87,"COL","Colombia",6282,-72,4
88,"TZA","Tanzania",5973,35,-6
89,"BHR","Bahrain",5914,50.55,26
90,"SVN","Slovenia",5490,15,46
91,"QAT","Qatar",5388,51.25,25.5
92,"TKM","Turkmenistan",5375,60,40
93,"FJI","Fiji",5371,175,-18
94,"PER","Peru",4860,-76,-10
95,"ZWE","Zimbabwe",4687,30,-20
96,"UGA","Uganda",4255,32,1
97,"AZE","Azerbaijan",3931,47.5,40.5
98,"TJK","Tajikistan",3545,71,39
99,"VUT","Vanuatu",2970,167,-16
100,"SRB","Serbia",2946,21,44
101,"VEN","Venezuela",2871,-132,16
102,"URY","Uruguay",2769,-56,-33
103,"AFG","Afghanistan",2750,65,33
104,"SYC","Seychelles",2595,55.6667,-4.5833
105,"GHA","Ghana",2582,-2,8
106,"PNG","Papua New Guinea",2519,147,-6
107,"CYP","Cyprus",2345,33,35
108,"KNA","Saint Kitts and Nevis",2330,-62.75,17.3333
109,"ECU","Ecuador",2318,-77.5,-2
110,"CRI","Costa Rica",2269,-84,10
111,"ZMB","Zambia",2169,30,-15
112,"MDG","Madagascar",2161,47,-20
113,"ARM","Armenia",2158,45,40
114,"BIH","Bosnia and Herzegovina",2041,18,44
115,"GEO","Georgia",1936,43.5,42
116,"LUX","Luxembourg",1870,6.1667,49.75
117,"MLT","Malta",1829,14.5833,35.8333
118,"SEN","Senegal",1799,-14,14
119,"GIN","Guinea",1748,-10,11
120,"BTN","Bhutan",1730,90.5,27.5
121,"ALB","Albania",1549,20,41
122,"ISL","Iceland",1437,-18,65
123,"DMA","Dominica",1366,-61.3333,15.4167
124,"MKD","North Macedonia",1332,22,41.8333
125,"ETH","Ethiopia",1201,38,8
126,"TTO","Trinidad and Tobago",1158,-61,11
127,"MDA","Moldova",1083,29,47
128,"BOL","Bolivia",1050,-130,-34
129,"SSD","South Sudan",972,30,8
130,"MOZ","Mozambique",956,35,-18.25
131,"PAN","Panama",947,-80,9
132,"CUB","Cuba",856,-80,21.5
133,"CMR","Cameroon",844,12,6
134,"GMB","Gambia",844,-16.5667,13.4667
135,"GTM","Guatemala",827,-90.25,15.5
136,"TCD","Chad",770,19,15
137,"MRT","Mauritania",744,-12,20
138,"SLE","Sierra Leone",739,-11.5,8.5
139,"JAM","Jamaica",717,-77.5,18.25
140,"DOM","Dominican Republic",712,-70.6667,19
141,"CIV","Ivory Coast",685,-10,16
142,"MWI","Malawi",662,34,-13.5
143,"NAM","Namibia",616,17,-22
144,"SUR","Suriname",616,-56,4
145,"HND","Honduras",615,-86.5,15
146,"ATG","Antigua and Barbuda",578,-61.8,17.05
147,"SWZ","Eswatini",567,31.5,-26.5
148,"MNE","Montenegro",564,19,42
149,"COM","Comoros",547,44.25,-12.1667
150,"ERI","Eritrea",538,39,15
151,"GRD","Grenada",525,-61.6667,12.1167
152,"SLV","El Salvador",519,-88.9167,13.8333
153,"BWA","Botswana",518,24,-22
154,"LCA","Saint Lucia",478,-61.1333,13.8833
155,"PRY","Paraguay",463,-58,-23
156,"SLB","Solomon Islands",459,159,-8
157,"DJI","Djibouti",438,43,11.5
158,"COD","Democratic Republic of the Congo",430,25,0
159,"TON","Tonga",424,-175,-20
160,"MLI","Mali",331,-4,17
161,"BEN","Benin",319,2.25,9.5
162,"RWA","Rwanda",297,30,-2
163,"LBR","Liberia",288,-9.5,6.5
164,"GAB","Gabon",287,11.75,-1
165,"BLZ","Belize",277,-88.75,17.25
166,"TGO","Togo",262,1.1667,8
167,"NIC","Nicaragua",243,-85,13
168,"LIE","Liechtenstein",241,9.5333,47.1667
169,"BHS","Bahamas",240,-76,24.25
170,"HTI","Haiti",240,-72.4167,19
171,"BRB","Barbados",231,-59.5333,13.1667
172,"BFA","Burkina Faso",209,-2,13
173,"GUY","Guyana",197,-59,5
174,"AND","Andorra",194,1.6,42.5
175,"LSO","Lesotho",174,28.5,-29.5
176,"AGO","Angola",169,18.5,-12.5
177,"BDI","Burundi",157,30,-3.5
178,"MAC","Macau",132,113.55,22.1667
179,"KIR","Kiribati",116,173,1.4167
180,"WSM","Samoa",113,-172.3333,-13.5833
181,"MHL","Marshall Islands",111,168,9
182,"MCO","Monaco",103,7.4,43.7333
183,"NRU","Nauru",102,166.9167,-0.5333
184,"COG","Congo",96,15,-1
185,"NER","Niger",90,8,16
186,"CPV","Cape Verde",84,-24,16
187,"SMR","San Marino",81,12.4167,43.7667
188,"VCT","Saint Vincent and the Grenadines",75,-183.6,39.75
189,"GNQ","Equatorial Guinea",62,10,2
190,"PLW","Palau",57,134.5,7.5
191,"STP","Sao Tome and Principe",48,7,1
192,"VAT","Vatican City",34,12.45,41.9
193,"FSM","Federated States of Micronesia",29,158.25,6.9167
194,"GNB","Guinea-Bissau",26,-15,12
195,"ZAR","Zaire",23,15.266293,-4.441931
196,"ISR","Israel",16,34.75,31.5
197,"TUV","Tuvalu",14,178,-8
198,"CAF","Central African Republic",13,21,7
199,"IOT","British Indian Ocean Territory",10,71.5,-6
200,"PRK","North Korea",9,127,40
201,"SGS","South Georgia and the South Sandwich Islands",7,-37,-54.5
202,"ATA","Antarctica",6,0,-90
203,"AIA","Anguilla",4,-63.1667,18.25
204,"BMU","Bermuda",4,-64.75,32.3333
205,"GRL","Greenland",4,-40,72
206,"CCK","Cocos (Keeling) Islands",3,96.8333,-12.5
207,"MNP","Northern Mariana Islands",3,145.75,15.2
208,"TCA","Turks and Caicos Islands",3,-71.5833,21.75
209,"ABW","Aruba",2,-69.9667,12.5
210,"ANT","Netherlands Antilles",2,-68.75,12.25
211,"GIB","Gibraltar",2,-5.3667,36.1833
212,"MYT",NA,2,45.1667,-12.8333
213,"NCL","New Caledonia",2,165.5,-21.5
214,"REU","Reunion",2,55.6,-21.1
215,"SHN","Saint Helena",2,-5.7,-15.9333
216,"TKL","Tokelau",2,-172,-9
217,"BVT","Bouvet Island",1,3.4,-54.4333
218,"COK","Cook Islands",1,-159.7667,-21.2333
219,"GLP","Guadeloupe",1,-61.5833,16.25
220,"HMD","Heard Island and McDonald Islands",1,72.5167,-53.1
221,"PRI","Puerto Rico",1,-66.5,18.25
222,"SPM","Saint Pierre and Miquelon",1,-56.3333,46.8333
